,ID,Title
483,26789,Add hive boost to climate and water_heater
484,33939,Add coverage to qwikswitch
485,39697,Add config flow to epson and fix timeouts
486,43966,Add TaHoma integration (base + Binary Sensor)
487,42103,Add twinkly integration
488,68072,Make Sonos typing more complete
489,71676,Move manual configuration of MQTT fan and light to the integration key
490,96552,New integration for Comelit SimpleHome
491,97326,Add new integration Yardian
492,108725,Add phase entities to Enphase Envoy
493,96044,Add support for multiple devices linked to a Viessmann account
494,114175,Add support for ventilation device to ViCare
495,3934,Add Custom Component for Sense HAT
496,15439,Add facebox auth
497,19334,Add native ESPHome API component
498,27492,Add Samsung TV automatic protocol detection
499,69148,Add application credentials platform
500,77327,Add Flume binary sensors
501,6263,Add support for Zigbee Home Automation
502,26375,Add Airly integration
503,23647,Add NWS weather
504,35995,Part 1: Support for config flow on SMS integration
505,43525,Reintroduce iAlarm integration
506,49441,Add battery support for Sonos speakers
507,53745,Update to iaqualink 0.4.1
508,54780,"Add upnp sensor for IP, Status, and Uptime"
509,56529,Move Kostal Plenticore writable settings from sensor to select widget or switch
510,70457,Add Melnor Bluetooth valve watering Integration
511,105781,Add qBittorrent torrent sensors
512,110860,Add support for Shelly RPC devices custom TCP port
513,107901,Add Rachio smart hose timer support
514,114226,Add sensors to Motionblinds BLE integration
515,123169,Add climate platform to Tesla Fleet
516,15081,Add Enphase Envoy component
517,15764,Added lumitek/ankuoo recswitch component
518,23127,MCP23017
519,35392,Add influx 2.0 and InfluxCloud support to InfluxDB integration
520,37966,Smart Meter Texas integration
521,42421,Add ozw config flow add-on management
522,50653,Add config flow to Switchbot
523,58656,Add config flow to KNX integration
524,63529,Support DSMR data read via RFXtrx with integrated P1 reader
525,80986,Add NUT device actions
526,86894,Add Synology Photos support
527,100897,Update Fitbit integration to allow UI based configuration
528,120878,Add alexa remote support
529,12277,Add new component: BMW connected drive
530,18929,Config entry options
531,22972,Fix bad request for some IP ONVIF camera
532,25418,Updater component is always available and shows on/off depending on whether an update is available or not
533,28712,Add totalconnect zones as binary sensors
534,36467,Add config flow to insteon component
535,37565,Replace rfxtrx entity events with integration events
536,40736,Add config flow to fritzbox_callmonitor
537,41942,Add initial version for the YouLess integration
538,51160,Yeelight local push updates
539,54489,Add upnp binary sensor for connectivity status
540,61155,Add config flow to Azure Event Hub integration
541,62315,Add switch platform to bosch_shc integration
542,93623,Add lawnmower entity
543,106693,Create update coordinator for Systemmonitor
544,9386,Basic MQTT vacuum support
545,6562,Add auxheat to ecobee climate
546,100925,Add support for Minecraft Server Bedrock Edition
547,18610,Add NMBS (Belgian railway) sensor platform
548,19180,Add hub- and device-info for tellduslive
549,18311,Add Lutron Homeworks component
550,25635,Add growatt server integration
551,24265,Add De Lijn (Flemish Public Transport) component
552,36254,Add Speedtestdotnet config_flow
553,42116,Add Omnilogic Switch platform
554,53140,Fjäråskupan kitchen fan
555,54032,Switch velbus from python-velbus to velbusaio
556,55446,Fritz new binary sensor for link and firmware status + code cleanup
557,87655,Add config flow to EDL21
558,86822,Clean up srp_energy
559,10379,Add Dominos Pizza platform
560,12079,Initial support for Config Entries
561,17111,Implemented tplink_lte components and notify service via SMS
562,20817,Fix init of TransmissionData
563,26874,"Add more providers, bump yessssms version to 0.4.1"
564,38272,Add sharkiq integration for Shark IQ robot vacuums
565,38828,Make Dynalite configurable via the UI - step 1
566,39630,Add Emulated Kasa Integration
567,84995,Add more diagnostic sensors to iRobot
568,46117,Convert Hive to Async
569,50425,Add DHCP support to goalzero
570,59037,Add SmartStart provisioning support to zwave_js WS API
571,61273,Improve Elmax code quality
572,68248,Add update entity platform
573,71677,Hardware integration MVP
574,89914,Add option flow for imap integration
575,89318,Update Verisure package to 2.6.1
576,106615,WeatherFlow Forecast (REST API)
577,104913,Add Config Flow to LG Netcast
578,124835,Add Google Photos integration
579,10306,Add support for Canary component and platforms
580,13075,Initialise filter_sensor with historical values
581,14446,Add HomeKit support for media players
582,16561,GitLab-CI sensor integration addition.
583,15814,Add RMV public transport sensor
584,27484,Rework Mikrotik device scanning following Unifi
585,32335,Refactor dynalite integration for multi-platform
586,38171,Add support for Flo by Moen water shutoff devices
587,43683,Fix polling and update of camera state for synology_dsm
588,45177,Add climate platform to zwave_js
589,52366,Xiaomi_Miio Humidifier rework
590,66395,Add Backup integration
591,76222,Add config flow to android_ip_webcam
592,81259,Fix late review comments for Scrape
593,85907,Add EufyLife Bluetooth integration
594,101374,Add Energyzero get_gas_prices and get_energy_price services
595,106976,Add webmin integration
596,44927,Add zwave_js entity discovery basics and sensor platform
597,6572,Tado climate device
598,17011,UniFi POE control
599,17596,Add emulated_roku component
600,26902,Add saj component
601,29296,Migrate webostv to new library and make integration async with callback state updates
602,29927,Add config flow to Meteo-France
603,32562,Add Abode tests
604,33108,Rewrite parts of upnp component
605,35224,"Add get_url helper, deprecate base_url"
606,36659,Publish state changes to Zabbix
607,36802,Add Plum Lightpad config flow
608,41303,Add Growatt Server Config flow
609,100807,Add tests for types and functions for type conversions in templates
610,63222,Add support for DS2760 1-Wire TypeK Thermocouple
611,68224,Separate attrs into another table (reduces database size)
612,86691,Add support for LIVISI climate devices
613,86907,Add Danfoss Ally thermostat and derivatives to ZHA
614,117758,Dynamic switches for tplink
615,5313,Improve Honeywell US climate component
616,9236,Add support for Todoist platform
617,10795,Hydroquebec component use now asyncio
618,10805,ISY994 sensor improvements
619,22294,Update vizio component to support latest pyvizio with soundbar support
620,22888,Improve Nuki lock
621,27841,Dynalite Integration
622,31398,Convert nws integration to component configuration
623,31954,Add water level sensors provided by UK Environment Agency
624,45866,Add devolo home network integration
625,47312,SSDP Discovery for NDMS2 routers
626,79550,Add has_value function/test to Jinja2 template
627,98686,Add Fastdotcom config flow
628,72363,Migrate Aurora_ABB_Powerone to DataUpdateCoordinator
629,15980,Device Registry
630,16299,Add OpenTherm Gateway climate platform
631,18463,Add ness alarm control panel using nessclient
632,20966,Cache GTFS metadata and expose utility attributes (breaking change)
633,34692,Add Universal Powerline Bus
634,33765,Add Azure DevOps Integration
635,50719,Add Sonos alarm to sonos component
636,67966,Refactor MQTT discovery
637,68663,Add Upnp volume control/status to SamsungTV
638,81193,Add config flow to Scrape
639,81369,Correct zamg config flow comments
640,83883,Add LD2410 BLE integration
641,86357,Add Powerwall off grid switch
642,91424,Fix ESPHome color temperature precision for light entities
643,115969,Add ecobee ventilator 20 min timer
644,113795,Add august open action
645,110513,Support in blueprint schema for input sections
646,113935,Migrate lamarzocco to lmcloud 1.1
647,125773,Allow setting volume on Ring devices
648,6813,Add communication data attributes to Zwave node_entity
649,13468,Re-implement HomematicIP cloud to async
650,21271,Adding enigma2 media player
651,23078,Add new device tracker supporting Fortinet FortiGate
652,26200,Jewish calendar binary sensor
653,26834,Add OPNSense device tracker
654,37207,Add humidifier support to homekit
655,40429,Add Shelly support for REST sensors
656,46591,Allow discovery configuration of modbus platforms
657,52160,Add transition support to zwave_js lights
658,62697,Add unifiprotect integration
659,75037,Add climate platform to Mazda integration
660,98703,Add Hong Kong Observatory integration
661,109867,Add myuplink specific sensor descriptions
662,125349,Add squeezebox service sensors
663,113849,Refactor prometheus integration tests
664,15151,Added Push Camera
665,17146,Add binary_sensor support to RFlink
666,18034,Add AfterShip sensor for packages
667,26366,deCONZ device automations
668,23567,Add Minio component
669,28968,Add config flow to iCloud
670,36539,Gateway subdevice support & AqaraHT + SensorHT devices
671,38451,Cache emulated hue states attributes between get and put calls to avoid unexpected alexa errors
672,41347,Add FAA Delays Integration
673,59697,Use configured speed ranges for HomeSeer FC200+ fan controllers in zwave_js
674,62311,Signal messenger attachments as bytes support
675,65255,Netgear coordinator
676,102592,Add ServiceValidationError and translation support
677,104560,Use ServiceValidationError for invalid fan preset_mode and move check to fan entity component
678,58707,Add Entity Descriptions to SMA integration
679,9433,Added new statistic attributes
680,7456,Zwave panel api
681,12459,Added FB messenger broadcast api to notify.facebook component
682,12004,Fix MQTT retained message not being re-dispatched
683,13994,Add support for multiple Doorbird stations
684,21495,Save all calendar events on calendar entity
685,21475,mobile_app component
686,26868,Add Apprise notification integration
687,24660,Add integration for Vallox Ventilation Units
688,28182,Add switches (on/off zones) to geniushub
689,35161,New configuration flow for ZHA integration
690,37477,Add new integration for Bond hub
691,38696,Improve X-Forwarded-* request headers handling
692,38306,Update Tesla to use DataUpdateCoordinator
693,45784,Add config flow to philips_js
694,46060,Add homekit pm type sensor
695,54493,Update version for smart-meter-texas to 0.4.7
696,64190,Revamp github integration
697,64753,Rewrite sensibo integration
698,74623,Add config flow to imap
699,77576,Expose battery and rssi sensors in Melnor Bluetooth integration
700,78790,Add support for Snooz BLE devices
701,81253,Improve MQTT type hints / refactor part 10 - vacuum
702,97285,Add Options Flow to change radius after initial configuration
703,53946,Add state_class and device_class to Solarlog platform
704,117020,New official genie garage integration
705,19767,Added HomeKit fan speed based on speed_list
706,19885,Add Rejseplanen danish public transport sensor component
707,21145,Nissanleaf
708,29973,Add local_ip component
709,33277,Fire events for hue remote buttons pressed
710,100019,Add todo component
711,58411,Fix endpoints issues for Tuya Integration
712,75535,Add Awair Local API support
713,109019,Add support to Lutron lights for color and temperature control
714,110297,Bump python-telegram-bot package to 21.0.1
